,centroid_x,centroid_y,minx,miny,maxx,maxy,watershed_area,station
75368,35.230267931282455,53.696204689571516,34.57165731089256,53.09863205108152,36.09337734834747,54.213888235848714,7201.180573569767,75368
75382,34.906821880363125,54.793123132784594,33.210061525047955,54.13942222306576,36.77001174842371,55.51242828369189,15175.020134236116,75382
75387,36.14408868757321,54.869565671312245,35.99303229819933,54.81756522357213,36.28988829696949,54.91941533052563,167.33938443824397,75387
75388,36.76290645549649,54.71537567230415,36.401889218248535,54.57620751104416,37.10443359114718,54.85592050998288,872.4127726529117,75388
75389,36.08310221599637,55.224111638017874,35.418296585167546,54.88975457346941,36.71714184359597,55.52252725876954,3602.89257910774,75389
75394,38.49669306563138,54.47198828155427,37.76903152465821,54.21781005803105,39.09881645010758,54.80542754788107,3014.393761052296,75394
75395,35.39148515813464,55.69586316892318,35.17480987212781,55.46826247390112,35.61762506823447,55.87722955710645,751.3874423243243,75395
75409,35.52854182943691,55.580562586024236,35.38742709125409,55.498140335893304,35.67614974750314,55.644973661506576,147.43331469566346,75409
75415,35.83501398395049,55.71953938117108,35.5659032291264,55.604900501801865,36.15267933877332,55.87571225434938,480.6775087074958,75415
75421,36.05256363836995,55.91353706397541,35.91222948654166,55.87286022417789,36.17856635657859,55.952391682680044,89.49749787864938,75421
75427,36.749519244181194,56.019075590041794,36.31363566146908,55.6989216163246,37.24389258199873,56.28608057469104,1921.1435593872964,75427
75428,36.67314673896418,56.24051422116876,36.570244187381974,56.20000000000002,36.74895327797194,56.28608057469104,54.026352941832975,75428
75450,39.03692214472166,55.62305794076235,38.619608844925125,55.5060601312253,39.341691034422965,55.72242835730673,622.0241565197275,75450
75453,38.03310052524304,55.26974797447973,37.69774978449673,55.147073202198754,38.44001267863765,55.430736007271115,848.2546404146392,75453
75469,39.18116086983015,54.11322405673444,38.46703905791184,53.84450427192248,40.01116538334515,54.434494189704814,3794.9204708712628,75469
75480,40.36015475800707,55.76008495789741,40.1528991992018,55.53333333333337,40.57838154807062,55.98836978827037,1009.1357023668098,75480
75491,40.726848216384774,55.4115477352737,40.483647808099434,55.09368361058758,41.00738052683315,55.78092996075123,1637.4714848474462,75491
75499,43.988149484339736,53.900609631970546,43.0489404301599,52.99784964800343,45.02818830090372,54.84220347782066,15740.243735856084,75499
75500,43.50417776440445,54.14121342253295,42.04948603939395,52.99784964800343,45.02818830090372,55.1628414020494,28087.122382144356,75500
75501,43.92270608424396,53.22447088814648,43.443401298557546,52.99784964800343,44.3725583469313,53.497915747053305,2285.762624872195,75501
75511,43.18116437518934,53.585347418180575,43.04011501883,53.458496676652956,43.338458162590484,53.70309777132339,359.8232391596057,75511
75518,41.682464432528356,52.95534437745894,40.91166335421115,52.11120515275818,42.53198594634646,53.905036281755876,13645.097679601637,75518
75520,41.312682676044716,52.27033940410242,41.0806357493968,52.163224547906104,41.52258753588594,52.417,498.55125357618795,75520
75530,42.841964525272076,53.322286187588446,42.443646987177615,53.050880820202764,43.28966836199032,53.59071733985666,2212.60707648116,75530
75543,41.418571691846864,55.698726644101654,41.16331629497366,55.45464370447,41.73562594361294,55.92801273557836,1111.7188705672063,75543
75552,39.04257698282349,56.04790996117634,36.98389727273955,55.40409469604496,40.519898919482436,56.65640244284185,15119.989411233364,75552
75553,39.47995940688422,56.22082987522086,36.98389727273955,55.40409469604496,41.53956367798944,57.12816055783134,24263.020423931725,75553
75559,38.07082966271587,56.19095619330141,37.777603060559116,55.98337518424364,38.32740534876951,56.364241462901845,824.5761491961035,75559
75561,38.76181979097222,56.483451397639506,38.598087301371116,56.36700000000004,38.945338173874426,56.576346879270226,274.0176914116043,75561
75573,39.857868401344696,56.349995537771235,39.39966717751135,56.08956902465167,40.23753470081785,56.65640244284185,1374.4521903272844,75573
75576,39.604027532403606,56.79579284644786,38.71804810548304,56.466048901564214,40.544198619050135,57.12816055783134,4011.7239594578955,75576
75579,40.98901765361128,55.75433052682675,40.57694513216034,55.566311281907986,41.301011197532816,55.950000000000024,974.2018454673492,75579
75619,46.50675423840367,53.04995686453993,45.85657377063269,52.584855265121924,47.319878841703236,53.523780822907874,6429.812761886514,75619
75624,45.90140187104789,53.338408553145086,44.31257452154539,52.28018673639179,47.319878841703236,54.559310716776004,28390.19259160427,75624
75631,46.2612973561498,53.418537832899474,46.06931639230409,53.2830000001205,46.50585824561675,53.523780822907874,459.7797457965625,75631
75635,45.98698925028599,52.52412121130527,45.190701826740586,52.28018673639179,46.57186215670422,52.7989747574451,3167.2081876624507,75635
75643,47.068751549145404,53.90910921597552,46.51676050764098,53.38778378233452,47.62488203259721,54.261259597905344,3677.6347951787893,75643
75674,46.72657134270006,58.971870121013474,45.284568240266964,58.31386226513829,48.021304758278696,59.724628245339595,12681.16491430614,75674
75682,46.70550201288533,59.50384238771218,46.15411239319379,59.30388600273439,47.26936057745358,59.724628245339595,1917.798732406345,75682
75683,46.674040859020884,59.287149568105306,45.68599572710205,58.91363457623027,47.52091018052268,59.724628245339595,5196.216033693276,75683
75684,46.52377025659829,58.44896524258681,46.157731579406445,58.321108251508804,46.860202160452864,58.572364164577245,698.8618494770674,75684
75716,41.56281320496747,54.492287552821765,41.36946949034775,54.26487332913244,41.74361377450651,54.73463558079478,904.2344619837747,75716
76007,53.092503889368636,59.8239211799809,51.58414976830757,58.159980097186775,54.67941703938571,61.10690174549068,27415.278930067558,76007
76008,53.82714926367325,59.96697909798151,51.584149768307576,58.159980097186775,56.37806998493298,61.29030716686382,46185.637832353044,76008
76075,54.46031797933758,59.56302740004619,53.379917434744705,59.20993745107649,55.533762786208534,59.95272232568735,6244.764424769053,76075
76076,53.96530867640805,59.92576678201688,53.51325709752604,59.70689801214954,54.341302107795336,60.16866853707378,1612.9037588617186,76076
76089,57.7810949704261,60.740997304052435,56.121111623863314,59.50810692567116,59.50608875621232,61.969200937688186,30755.752808290836,76089
76130,57.82141718289171,59.425408663883864,57.02260795366101,58.894174880186526,58.67716577091849,59.85138393771606,5236.644885872354,76130
76139,54.195582690126464,59.017463551212145,53.7587547160286,58.73399357536904,54.65523910120653,59.286961119422735,2042.0833064729131,76139
76141,54.71118246693253,59.085996873032705,53.75875471602857,58.733993575369034,55.573718099816475,59.57876739589983,5194.387116809645,76141
76145,54.006986245401436,59.14536671210381,53.831939341887676,59.06640027284583,54.195525686382716,59.22212537746355,266.43031715739266,76145
76147,55.2475021472718,59.362328893125316,54.82258924468141,59.1833088002691,55.5737180998165,59.57876739589987,864.2325712791693,76147
76159,54.2886941544593,58.383255202624,53.72449980063038,57.95481496527575,55.04343465954739,58.82405862342212,4338.053987832522,76159
76180,59.539000433495175,57.24002068246755,58.60298879994335,56.10075475002587,60.42676734617592,58.41661032685382,10440.20475899476,76180
76190,58.96313060258124,57.89899031445201,57.23457703273627,56.100754750025885,60.42676734617589,59.25624445708279,21591.50384520722,76190
76253,56.27561331985998,57.85312031934715,56.061269638009854,57.74368320245488,56.43235245219381,58.00725489040945,342.17277226697985,76253
76255,54.73621784394875,57.862687628253084,54.28069770912604,57.64689619797424,55.16010525671383,58.042789683283765,1132.321042671176,76255
76256,55.63506204448661,56.793106294725426,54.97042489679805,56.57811340508485,56.287107783073665,56.96245735636049,1904.9005888407078,76256
76264,55.350135155822706,56.43246038450764,54.86116223653534,56.13285226554005,55.8886462870405,56.71325747006938,2769.5804701357156,76264
76270,58.67374528868007,54.32265119508286,58.21482664855219,54.04516374293515,59.08461437794197,54.56963434274015,1625.9233512889318,76270
76275,58.588011562411445,54.228474421485096,58.088211226474044,53.812395369842775,59.08461437794197,54.56963434274015,2322.233526231593,76275
76284,56.957736525083334,53.357324016535244,54.951868788251,52.64854451077533,59.08461437794201,54.56963434274015,20884.769916138182,76284
76289,57.59024176046853,54.89381310809215,54.951868788251,52.64854451077533,60.41407028965331,57.19260266718229,100145.09720310064,76289
76295,57.12170619360709,54.781110254224465,53.42403282501827,52.64854451077533,60.41407028965331,57.19260266718229,121182.09737255408,76295
76321,55.341538510203684,53.17049957697486,54.951868788251026,52.839342445159446,55.7554021400997,53.43964879781869,2013.3840710340867,76321
76324,55.49144454771026,53.51109502319035,55.14006417269496,53.38976346730988,55.90213134759582,53.64143435787278,649.3143274058918,76324
76325,56.38835078900461,53.32493704187859,56.276757047352476,53.24932546298031,56.56162710203075,53.38300024925882,148.06369642520005,76325
76355,55.49240329220003,54.01202737955753,55.0456516944716,53.505507477521164,56.084484033090845,54.48192836401611,3114.507306897946,76355
76360,59.93969151398915,55.95424479029021,59.43423744222311,55.50615993884564,60.41407028965331,56.34884853186148,3424.9930757542625,76360
76363,59.70132827837104,55.99451541178142,58.94648878017415,55.50615993884564,60.41407028965331,56.43009501250915,5543.748609438644,76363
